//////////////////////////////////////////////////////////////////////////
//SUNNY
//AMBIENT      XXXXXXXX       EMISSION       AMB OBJ        DIR            SKY TOP        SKY BOT        SUNCORE        SUNCORONA      SUNSZ    SPRSZ    SPRBR    SHDW    LTSHD    TREESH    FARCLP    FOGST     LTGRD    LOWCLOUDSRGB    TOPCLOUDRGB    BOTCLDRGB      BLURRGB        WATERRGBA      
//MIDNIGHT
156 163 171     95  95  95     34  31  40     12  19  25    166 170 241      0   0   0     16  16  29    255 255   0      5   0   0    15.0     1.2       1.0     254      99        0        859.0      30.0    1.5        4   2   0      30  29  36     36  37  44      0 243 206     42  49  52 80
//1AM
157 162 170     95  95  95     27  24  30     15  18  23    162 166 227      1   5   6     16  17  31    255 155   0    255   0   0    15.2     1.2       1.0     238     100        0        884.0      32.0    1.3        7   3   0      32  32  32     38  37  42      0 238 208     39  43  47 80
//2AM
158 161 169     95  95  95     34  29  29     18  18  22    158 163 213      3  10  12     17  19  33    255 128   0    255 128   0    15.4     1.2       1.0     223     100        0        910.0      34.0    1.2       10   4   0      27  27  31     39  37  40      0 233 211     35  38  43 90
//3AM
159 160 168     95  95  95     41  35  29     21  18  20    177 174 192      4  15  18      1   2   3    255 128   0    255   0   0    15.6     1.2       1.0     207     100        0        936.0      36.0    1.1       13   5   1      21  21  30     41  37  38      0 228 214     33  34  40 90
//4AM
161 160 167     95  95  95     49  40  23     25  18  19    196 187 171      6  21  25     18  19  24    255 128   0    255 128   0    15.8     1.2       1.0     192     100        0        962.0      38.0    1.0       55  21   7      17  17  30     43  37  36      0 224 217     89  72  69 90
//5AM
169 168 174     95  95  95     56  43  11     50  34  34    216 198 150    121 116 129    119  73  43    255 128   0    255   0   0    16.0     1.2       1.0     223     100        0        988.0      39.0    0.9       70  27  10      95  86 108    123 104 119     90   4   7    145 111  98 100
//6AM
177 176 182     90  90  90     63  47   0     61  50  50    235 210 129    105 161 192    220 128  63    255 128   0    255  35   0    12.5     1.2       1.0     254     100        0       1013.0      36.0    0.8      100  34  25     205 205 205     35  27  26     68   0   0    155 137 156 100
//7AM
185 184 189     90  90  90     65  50  38     53  45  45    255 223 109     90 206 255    212 149  94    254 149  42    255  70   0    11.6     1.2       1.0     254      50      129       1039.0      32.0    0.5      120  40  40     192 182 192     43  36  30     82  54   1    165 164 215 90
//8AM
194 192 197    100  90  85     43  31  31     45  41  39    255 239 182    106 206 255    204 170 125    254 170  85    255  98   0    10.6     1.2       1.0     254       0      153       1065.0      28.0    1.0      120  40  40     180 160 180     51  46  34    147  67   0    177 176 217 100
//9AM
252 250 196    100 100 100     59  45  33     50  44  41    255 255 255    123 207 255    196 191 156    254 191 127    255 113   0     9.6     1.2       1.0     254       0      178       1091.0      25.0    1.0      120  40  40     255 255 255    205 205 205     11  53  60    189 188 219 80
//10AM
220 230 191    100 100 100     59  49  32     56  47  44    255 255 255    139 208 254    188 212 187    254 212 170    255 128   0     8.8     1.2       1.0     254       0      203       1116.0      21.0    1.0      120 100 100     255 255 255    216 216 216     19  77  92    159 161 187 80
//11AM
187 210 186    100 100 100     59  52  30     61  53  45    254 254 254    156 209 254    180 233 218    254 233 212    255 128   0     7.8     1.2       1.0     254       0      228       1142.0      17.0    1.0      120 100 100     255 255 255    228 228 228     28 101 124    129 134 154 80
//NOON
156 191 182    100 100 100     60  57  30     66  59  47    255 255 255    173 211 255    173 255 250    254 255 255    255 128   0     6.9     1.2       1.0     254       0      253       1168.0      14.0    1.0      120 100 100     255 255 255    241 241 241     37 126 157    100 108 123 80
//1PM
161 186 173    100 100 100     61  59  41     61  53  43    255 255 254    140 186 239    136 240 239    254 232 212    255 128  60     7.8     1.2       1.0     255       0      247       1194.0      10.0    1.0      120 100 100     255 255 255    170 170 170     25 107 138    113 114 132 80
//2PM
165 181 163    100 100 100     63  62  53     56  48  40    255 255 254    108 162 223    100 225 228    254 209 170    255 125  80     8.6     1.2       1.0     254       0      241       1167.0      12.0    1.0      120 100 100     255 255 255    100 100 100     14  89 120    126 121 141 70
//3PM
